CF280A;https://profit-msk.ru/hp/cartridges/cf280a.html;"HP LaserJet Pro 400 M401 / 400 MFP M425
(Картридж / 2,700 стр.)";430 ;-;100 ;7402 ;Uniton Eco - 685 Uniton Premium - 720 SuperFine - 726 NV Print - 738 OEM - 747 GalaPrint - 771 NetProduct - 821 Hi-Black - 920 ProfiLine - 1411 GG - 1501 от 685 
CF280X;https://profit-msk.ru/hp/cartridges/cf280x.html;"HP LaserJet Pro 400 M401 / 400 MFP M425
(Картридж / 6,900 стр.)";620 ;-;100 ;14947 ;Uniton Eco - 810 Uniton Premium - 828 NV Print - 911 OEM - 923 SuperFine - 934 NetProduct - 978 Hi-Black - 1090 GG - 1675 ProfiLine - 1701 от 810 
CF280XC;https://profit-msk.ru/hp/cartridges/cf280xc.html;"HP LaserJet Pro 400 M401 / 400 MFP M425
(Контрактный картридж / 6,900 стр.)
Снято с производства";650 ;-;100 ;;-
CF280XD;https://profit-msk.ru/hp/cartridges/cf280xd.html;"HP LaserJet Pro 400 M401 / 400 MFP M425
(Комплект из 2-х картриджей / 2 x 6,900 стр.)";-;-;-;26129 ;-
CF280XF;https://profit-msk.ru/hp/cartridges/cf280xf.html;"HP LaserJet Pro 400 M401 / 400 MFP M425
(Комплект из 2-х картриджей / 2 x 6,900 стр.)";-;-;-;24631 ;-
CF280JC;https://profit-msk.ru/hp/cartridges/cf280jc.html;"HP LaserJet Pro 400 M401 / 400 MFP M425
(Контрактный картридж / 6,900 стр.)";620 ;-;100 ;;-
