Kyocera;Узел автоматической подачи оригиналов;303HL07093;Основание площадки отделения бумаги в узле автоматической подачи документов;;;157;
Kyocera;Узел автоматической подачи оригиналов;3BR07040;Ролик подачи бумаги в узле автоматической подачи документов;;;422;kyocera\3BR07040.jpg
Kyocera;Узел автоматической подачи оригиналов;3HL07100;Накладка площадки отделения бумаги в узле автоматической подачи документов;;;2473;
Kyocera;Подача и захват бумаги;2AR07220;Ролик подачи бумаги;;;1613;kyocera\2AR07220.jpg
Kyocera;Подача и захват бумаги;2BJ06010;Ролик подачи бумаги;;;253;kyocera\2BJ06010.jpg
Kyocera;Узел переноса;2A118370;Ролик отделения от фотовала;;;96;
Kyocera;Узел переноса;2AR18280;Пружина узла отделения бумаги от фотовала;;;139;
Kyocera;Узел переноса;2FT18030;Нижний уплотнитель драм-картриджа;;;745;
Kyocera;Узел переноса;302C918371;Палец отделения бумаги от фотовала;;;612;
Kyocera;Узел переноса;5MMW141LX002;Пружина в узле переноса заряда;;;83;
Kyocera;Узел переноса;5MVT263NN001;Соединитель в узле переноса заряда;;;166;
Kyocera;Узел переноса;DV-420;Блок проявки;;;18071;kyocera\DV-420.jpg
Kyocera;Электронные компоненты;302FT27020;Мотор подачи тонера;;;3779;
CET;Узел термозакрепления;CET7824;Пружина и палец отделения бумаги от тефлонового вала;;;;kyocera\CET7824.jpg
Kyocera;Узел термозакрепления;302LH25610;Палец отделения бумаги от тефлонового вала;;;;kyocera\302LH25610.jpg
