Ricoh;Подача и захват бумаги;AX200363;Электромагнитная муфта;;;3928;
Ricoh;Подача и захват бумаги;GF013001;Накладка площадки отделения бумаги;;;422;
Ricoh;Подача и захват бумаги;GF031010;Ролик подачи бумаги;;;;
Ricoh;Внутренние компоненты;GX640027;Вентилятор;;;3508;
Ricoh;Узел переноса;M1336254;Шестерня вала переноса заряда;;;586;
Ricoh;Узел переноса;M1336259;Направляющий ролик вала переноса заряда;;;586;
Ricoh;Узел переноса;M1336262;Подшипник вала переноса заряда;правый;;544;
Ricoh;Узел переноса;M1336263;Подшипник вала переноса заряда;левый;;544;
Ricoh;Узел переноса;M1336264;Пружина вала переноса заряда;;;;
Ricoh;Узел переноса;M2796250;Вал переноса заряда;;;;
Ricoh;Электронные компоненты;AX061155;Мотор;;;;
