Ricoh;Подача и захват бумаги;AF031089;Ролик подачи бумаги из кассеты;;;851;ricoh\AF031089.jpg
Ricoh;Подача и захват бумаги;GF013001;Накладка площадки отделения бумаги;;;422;
Ricoh;Подача и захват бумаги;D2452716;Ролик захвата бумаги;;;;
Ricoh;Подача и захват бумаги;D2452713;Ролик подачи бумаги;;;;
Ricoh;Узел переноса;AD027018;Ролик первичного заряда;;;3149;ricoh\AD027018.jpg
Ricoh;Узел переноса;B0399510;Фотовал;;;6691;ricoh\B0399510.jpg
Ricoh;Узел переноса;D2452281;Лезвие очистки;;;1199;
Ricoh;Узел переноса;D2459640;Девелопер;;;;ricoh\D2459640.jpg
Ricoh;Электронные компоненты;417382;Плата сетевого интерфейса;;;;
Ricoh;Электронные компоненты;D2451900;Блок лазера;;;;
Ricoh;Узел термозакрепления;AE011133;Тефлоновый вал;;;;
Ricoh;Узел термозакрепления;D2454299;Подшипник тефлонового вала;;;;
Ricoh;Узел термозакрепления;D2454174;Подшипник прижимного вала;;;;
Ricoh;Узел термозакрепления;AE020235;Прижимной вал;;;;
Ricoh;Узел термозакрепления;AB011621;Шестерня тефлонового вала;;;;
Ricoh;Узел термозакрепления;AW100167;Термистор;;;;
Ricoh;Детали корпуса;D2451262;Задняя крышка;;;;
Ricoh;Детали корпуса;D2451242;Левая крышка;;;;
Ricoh;Детали корпуса;D2451241;Передняя крышка;;;;
