Ricoh;Подача и захват бумаги;G9601153;Накладка площадки отделения бумаги;;;595;
Ricoh;Подача и захват бумаги;G9601173;Узел захвата бумаги из лотка ручной подачи, в сборе;лоток 1;;18176;
Ricoh;Подача и захват бумаги;G9601180;Ролик захвата бумаги из обходного лотка, в сборе;лоток 1;;2037;
Ricoh;Подача и захват бумаги;G9601185;Кассета на 250 листов, в сборе;белая;;28719;
Ricoh;Подача и захват бумаги;G9601190;Ролик захвата бумаги из кассеты, в сборе;лоток 2;;;
Ricoh;Подача и захват бумаги;G9601371;Флажок датчика наличия бумаги в узле регистрации;;;;
Ricoh;Внутренние компоненты;G9601035;Кабель платы внешнего интерфейса USB;;;;
Ricoh;Узел переноса;G9601100;Шестерня вала переноса заряда;;;;
Ricoh;Узел переноса;G9601120;Вал переноса заряда;;;11197;
Ricoh;Узел переноса;G9601191;Вал переноса заряда, в сборе;;;9456;
Ricoh;Электронные компоненты;G9601157;Плата внешнего интерфейса USB;;;;
Ricoh;Электронные компоненты;G9601158;Плата факса;;;34277;
Ricoh;Электронные компоненты;G9601391;Блок лазера;;;45626;
Ricoh;Узел термозакрепления;G9601424;Редуктор узла термозакрепления, в сборе;мотор в комплекте;;19208;
