ML-D2850A;https://profit-msk.ru/samsung/cartridges/ml-d2850a.html;"Samsung ML-2850 / 2851
(Картридж / 2,000 стр.)
Замена HP SU646A";430 ;-;100 ;;-
ML-D2850B;https://profit-msk.ru/samsung/cartridges/ml-d2850b.html;"Samsung ML-2850 / 2851
(Картридж / 5,000 стр.)
Замена HP SU654A";620 ;-;100 ;;Uniton Eco - 1081 OEM - 1141 NV Print - 1233 NetProduct - 1439 Hi-Black - 1709 SuperFine - 1712 от 1081 
SU646A;https://profit-msk.ru/hp/cartridges/su646a.html;"Samsung ML-2850 / 2851
(Картридж / 2,000 стр.)
* Заменил Samsung MLT-D2850A";430 ;-;100 ;;-
SU654A;https://profit-msk.ru/hp/cartridges/su654a.html;"Samsung ML-2850 / 2851
(Картридж / 5,000 стр.)
Заменил Samsung MLT-D2850B";620 ;-;100 ;;Uniton Eco - 1081 OEM - 1141 NV Print - 1233 NetProduct - 1439 Hi-Black - 1709 SuperFine - 1712 от 1081 
