Epson;Подача и захват бумаги;1475746;Ролик захвата бумаги из лотка подачи;;Снято с производства;703;
Epson;Подача и захват бумаги;1265509;Площадка отделения бумаги из лотка подачи;;Снято с производства;;epson\1265509.jpg
Epson;Подача и захват бумаги;1429886;Вал протяжки бумаги;2 резинки на металлической оси;;;
Epson;Подача и захват бумаги;1268641;Шестерня вала протяжки бумаги;;;;
Epson;Подача и захват бумаги;1268643;Вспомогательный ролик протяжки бумаги;1 шт. / в узле 2 шт.;;;
Epson;Подача и захват бумаги;1268644;Пружина вспомогательного ролика протяжки бумаги;1 шт. / в узле 2 шт.;;;
Epson;Подача и захват бумаги;1090655;Пружина площадки отделения бумаги в лотке подачи;;;;
Epson;Подача и захват бумаги;1401370;Ось ролика подачи бумаги из основного лотка;;;;
Epson;Подача и захват бумаги;2108412;Соленоид узла подачи бумаги;;;;
Epson;Внутренние компоненты;2085747;Вентилятор;;;;
Epson;Внутренние компоненты;1268720;Шестерня редуктора;;;;
Epson;Внутренние компоненты;1268729;Шестерня редуктора;;;;
Epson;Внутренние компоненты;1268728;Шестерня редуктора;;;;
Epson;Внутренние компоненты;1268727;Шестерня редуктора;;;;
Epson;Узел переноса;1265508;Вал переноса заряда;;;;
Epson;Узел переноса;1268639;Шестерня привода вала переноса заряда;;;;
Epson;Узел переноса;1268637;Подшипник вала переноса заряда;левый;;;
Epson;Узел переноса;1268600;Подшипник вала переноса заряда;правый;;;
Epson;Электронные компоненты;2110011;Блок лазера;;;;
Epson;Узел термозакрепления;1268554;Прижимной вал;;;4772;
Epson;Узел термозакрепления;1268563;Тефлоновый вал;;;;
Epson;Узел термозакрепления;2085728;Термистор;;;;
Epson;Узел термозакрепления;1104888;Подшипник прижимного вала;1 шт. / в узле 2 шт.;;;
Epson;Узел термозакрепления;1268550;Пружина подшипника прижимного вала;1 шт. / в узле 2 шт.;;;
Epson;Узел термозакрепления;1420022;Подшипник тефлонового вала;правый;;;
Epson;Узел термозакрепления;1263036;Палец отделения бумаги от тефлонового вала;1 шт. / в узле 4 шт.;;;
Epson;Узел термозакрепления;1268562;Подшипник тефлонового вала;левый;;;
Epson;Узел термозакрепления;1268561;Шестерня тефлонового вала;;;;
Epson;Узел термозакрепления;2089783;Лампа нагрева тефлонового вала;220В;;;
Epson;Детали корпуса;1268425;Верхняя откидная крышка выхода бумаги;;;;
Epson;Детали корпуса;1048631;Винт;;;;
