img_path;profit_msk\parse\oki\OKI C531dn.jpg
Код производителя;44951614
Тип устройства;принтер
Функция печати;да
Цветность печати;цветная
Технология печати;светодиодная
Максимальный формат;А4
Скорость печати;30 стр./мин. (Ч/Б)
26 стр./мин. (Цв.);
Нагрузка в месяц;45000 стр.
Status;
