OKI;Подача и захват бумаги;42088801;Площадка отделения бумаги из кассеты, в сборе;лоток 2;;1313;oki\42088801.jpg
OKI;Подача и захват бумаги;42052601;Ролик захвата бумаги из кассеты, в сборе;лоток 2;;1401;
OKI;Подача и захват бумаги;42051401;Держатель и ролик подачи бумаги из кассеты, в сборе;лоток 2;;2490;
OKI;Подача и захват бумаги;42050701;Ось ролика захвата бумаги из кассеты;лоток 2;;3133;
OKI;Подача и захват бумаги;42089001;Пружина площадки отделения бумаги из кассеты;;;720;
OKI;Внутренние компоненты;42062401;Шестерня узла переноса изображения;20/121 зуб;;1288;
OKI;Внутренние компоненты;42060701;Подшипник;;;783;
OKI;Узел переноса;42158712;Узел переноса изображения;Ресурс: до 50,000 стр.;;;
OKI;Электронные компоненты;42067501;Панель управления, в сборе;;;13309;
OKI;Узел термозакрепления;42158603;Печь, в сборе;220В / Ресурс: до 45,000 стр.;;11939;
OKI;Узел термозакрепления;42303301;Термистор;;;2601;
OKI;Детали корпуса;42074501;Верхняя крышка, в сборе;;;23694;
