Canon;Подача и захват бумаги;FM4-6893-000;Площадка отделения бумаги из лотка подачи;;;1124;
HP;Подача и захват бумаги;RL1-1497-000CN;Ролик захвата бумаги из лотка подачи;;;266;canon\RL1-1497-000CN.jpg
Canon;Электронные компоненты;FM1-J902-010;Плата форматтера;;;;
Canon;Электронные компоненты;FM0-3687-000;Блок лазера;;;16027;
LT;Узел термозакрепления;DPT-FILM-087;Термоплёнка;;;288;
LT;Узел термозакрепления;DPT-FILM-087-20;Термоплёнка;упаковка из 20 шт.;;5541;
Canon;Узел термозакрепления;RC2-1183-000;Прижимной вал;;;5193;
Canon;Узел термозакрепления;RC2-1471-000;Подшипник прижимного вала;;;161;
CET;Узел термозакрепления;RM1-6405-FILM;(CET2471N) Термоплёнка *смазка в комплекте;;;964;canon\RM1-6405-FILM.jpg
