Xerox;Подача и захват бумаги;059K36730;Ролик подачи бумаги, в сборе;;;1022;
Xerox;Подача и захват бумаги;604K25823;Комплект роликов подачи бумаги;;;2581;
Xerox;Узел переноса;848K03841;Блок проявки;жёлтый;;33437;
Xerox;Узел переноса;848K03851;Блок проявки;пурпурный;;33499;
Xerox;Узел переноса;848K03861;Блок проявки;голубой;;33447;
Xerox;Узел переноса;848K03871;Блок проявки;чёрный;;33447;
Xerox;Электронные компоненты;062K17234;Блок лазера;;;53941;
Xerox;Электронные компоненты;097S03382;Модуль памяти;512MB;Снято с производства;;
Xerox;Электронные компоненты;097S03741;Адаптер беспроводной сетевой печати;;Снято с производства;;
Xerox;Электронные компоненты;101E28721;Панель управления;;;8430;
Xerox;Узел термозакрепления;115R00056;Печь, в сборе;220В;;21586;
Xerox;Детали корпуса;054K28372;Разгрузочный желоб, в сборе;;;1965;
