Xerox;Подача и захват бумаги;497K13620;Дополнительный лоток подачи бумаги;550 листов;;;
Xerox;Подача и захват бумаги;604K11192;Комплект захвата/подачи бумаги из кассеты;ролик подачи, ролик протяжки и ролик отделения в комплекте;;;
Xerox;Подача и захват бумаги;050K71212;Кассета, в сборе;;;7766;
Xerox;Внутренние компоненты;930W00123;Датчик;;;783;xerox\930W00123.jpg
Xerox;Узел переноса;059K75560;Вал второго переноса, в сборе;;;6825;xerox\059K75560.jpg
Xerox;Электронные компоненты;062K24269;Блок лазера;;;34261;
Xerox;Узел термозакрепления;126K35563;Печь, в сборе;220В;;25697;xerox\126K35563.jpg
