Xerox;Узел термозакрепления;022N02366;Тефлоновый вал;;;4261;xerox\022N02366.jpg
Xerox;Узел термозакрепления;122N00261;Лампа нагрева тефлонового вала;220В;;4618;
Xerox;Узел термозакрепления;126N00302;Печь, в сборе;220В;;14897;
Xerox;Узел термозакрепления;130N01489;Термистор;;;1981;xerox\130N01489.jpg
Xerox;Узел термозакрепления;130N01490;Термостат;;;1148;
Samsung;Узел термозакрепления;JC61-02154A;Палец отделения бумаги от тефлонового вала;1 шт. / в аппарате 4 шт.;Снято с производства;525;
Samsung;Узел термозакрепления;JC66-01588A;Шестерня привода тефлонового вала;;;634;
Samsung;Узел термозакрепления;JC72-20902A;Пластиковый направляющий ролик;;;521;
Xerox;Узел термозакрепления;126N00292;Крышка узла термозакрепления, в сборе;;;;
Xerox;Детали корпуса;002N02714;Верхняя крышка выхода бумаги из узла термозакрепления, в сборе;;;1947;xerox\002N02714.jpg
Xerox;Детали корпуса;002N02716;Задняя крышка, в сборе;;;8746;xerox\002N02716.jpg
Xerox;Детали корпуса;002N02718;Крышка доступа к картриджу, в сборе;;;2881;
Xerox;Детали корпуса;003N01018;Петля модуля сканера;(правая*)* для Xerox Phaser 3300MFP одинаковые;;1121;xerox\003N01018.jpg
Xerox;Детали корпуса;003N01031;Петля модуля сканера;левая;;1207;xerox\003N01031.jpg
Xerox;Детали корпуса;098N02190;Дополнительный лоток подачи бумаги;500 листов;;13617;
