Sharp;Подача и захват бумаги;NROLR0922FCA2;Ролик подачи бумаги из обходного лотка;;;665;
Sharp;Подача и захват бумаги;NROLR0196QSZ1;Ролик захвата бумаги боковой подачи;;;1478;
Sharp;Внутренние компоненты;NGERH0019QSZ1;Шестерня привода шестерни тефлонового вала;21 зуб;;87;
Sharp;Узел переноса;AR-152DM;Фотовал;Ресурс: до 25,000 стр.;;3251;
Sharp;Узел переноса;MX-B20GV1;Девелопер;Ресурс: до 25,000 стр.;;1478;
Sharp;Узел термозакрепления;NROLI0137QSZZ;Тефлоновый вал;;;2881;
Sharp;Узел термозакрепления;RLMPU0011QSZZ;Лампа нагрева тефлонового вала;;;2881;
Sharp;Узел термозакрепления;NGERH0540FCZ3;Шестерня тефлонового вала;45 зубов;;148;
Sharp;Узел термозакрепления;NBRGP0029QSZZ;Подшипник тефлонового вала;левый;;177;
Sharp;Узел термозакрепления;NBRGP0567FCZZ;Подшипник тефлонового вала;правый;;296;
Sharp;Узел термозакрепления;NBRGP0028QSZZ;Подшипник прижимного вала;;Снято с производства;332;
Sharp;Узел термозакрепления;NROLR0138QSZZ;Прижимной вал;;;2364;
