Brother;Внутренние компоненты;LV1003001;Плоский кабель к плате мотора;;;;
Brother;Внутренние компоненты;LV1011001;Плоский кабель к блоку лазера;;;;
Brother;Внутренние компоненты;LEH842001;Вентилятор;;;;
Brother;Внутренние компоненты;LEH840001;Крышка вентилятора;;;;
Brother;Внутренние компоненты;LT3240001;Плоский кабель к линейке планшетного сканера;;;;
Brother;Электронные компоненты;LV1004001;Датчик сброса тонер-картриджа, в сборе;;;;
Brother;Электронные компоненты;LV1481001;Плата датчика мотора, в сборе;;;;
Brother;Электронные компоненты;LV0996001;Датчик узла выхода бумаги, в сборе;;;;
Brother;Электронные компоненты;LV1002001;Плата датчика узла подачи бумаги, в сборе;;;;
Brother;Электронные компоненты;LD1969001;Плата беспроводной печати;;;;
Brother;Электронные компоненты;LJA440001;Блок лазера;;;;
Brother;Электронные компоненты;A62144001;Дисплей;;;;
Brother;Электронные компоненты;LT2800001;Плата низковольтного питания;220В;;;
Brother;Электронные компоненты;LT2530001;Плата высоковольтного питания;;;;
Brother;Электронные компоненты;LES978002;Планшетный сканер, в сборе;;;;
Brother;Электронные компоненты;LT3860001;Линейка планшетного сканера;;;;
Brother;Электронные компоненты;LES725001;Панель управления, в сборе;;;;
Brother;Электронные компоненты;LT3405001;Плата панели управления;;;;
Brother;Электронные компоненты;LT3338001;Плата форматтера;;;;
Brother;Узел термозакрепления;LEH826001;Верхняя крышка узла термозакрепления, в сборе;флажок датчика выхода бумаги в комплекте;;;
Brother;Узел термозакрепления;LES913001;Печь, в сборе;220В;;10343;
Brother;Детали корпуса;LY8028002;Передняя крышка;;;;
Brother;Детали корпуса;LY8174001;Откидная часть крышки для поддержки бумаги в узле выхода;без основного откидного лотка;;;
Brother;Детали корпуса;LU7320001;Наклейка;13X50;;;
Brother;Детали корпуса;LY8178001;Наклейка высокая температура;(13X30);;;
Brother;Детали корпуса;LJA011001;Основание передвижного ограничителя формата бумаги в лотке подачи;без стопора;;;
Brother;Детали корпуса;LJA012001;Стопор ограничителя формата бумаги в лотке подачи;;;;
Brother;Детали корпуса;LJA069001;Зажим ограничителя формата бумаги в лотке подачи;;;;
Brother;Детали корпуса;LEH188002;Основной лоток подачи бумаги;;;;
Brother;Детали корпуса;LEH005002;Левая декоративная крышка;;;;
Brother;Детали корпуса;LEH004001;Основная откидная часть крышки для поддержки бумаги в узле выхода;;;;
Brother;Детали корпуса;LEH207001;Петля поддержки планшетного сканера;;;;
Brother;Детали корпуса;LEH206001;Демпфер планшетного сканера;;;;
Brother;Детали корпуса;LEH152002;Правая декоративная крышка;;;;
Brother;Детали корпуса;LEH166002;Петля планшетного сканера;1 шт. / в узле 2 шт.;;;
Brother;Детали корпуса;LES084002;Крышка планшетного сканера;;;;
Brother;Детали корпуса;LT3844001;Прокладка;;;;
Brother;Детали корпуса;LEH864001;Губка;;;;
Brother;Детали корпуса;LES004002;Задняя крышка;;;;
Brother;Детали корпуса;LES818002;Левая крышка;;;;
Brother;Детали корпуса;LEH835002;Верхняя крышка, в сборе;;;;
Brother;Детали корпуса;LEH882002;Правая крышка;;;;
