BU-300CL;https://profit-msk.ru/brother/cartridges/bu-300cl.html;"HL-4140 / 4150 / 4570 / DCP-9055 / 9270 / MFC-9460 / 9465 / 9560 / 9970
(Transfer Belt / 50,000K)";-;-;-;11361 ;-
DR-320CL;https://profit-msk.ru/brother/cartridges/dr-320cl.html;"Brother HL-4140 / 4150 / 4570 / DCP-9055 / 9270 / MFC-9460 / 9465 / 9560 / 9970
(Imaging Drum / 25,000K)";-;800 ;-;18182 ;-
TN-320BK;https://profit-msk.ru/brother/cartridges/tn-320bk.html;"HL-4140 / 4150 / 4570 / DCP-9055 / 9270 / MFC-9460 / 9465 / 9560 / 9970
(Тонер-картридж / 2,500 стр.)";1090 ;-;-;6534 ;SuperFine - 1181 от 1181 
TN-320C;https://profit-msk.ru/brother/cartridges/tn-320c.html;"HL-4140 / 4150 / 4570 / DCP-9055 / 9270 / MFC-9460 / 9465 / 9560 / 9970
(Тонер-картридж / 1,500 стр.)";860 ;-;-;8842 ;SuperFine - 1181 от 1181 
TN-320M;https://profit-msk.ru/brother/cartridges/tn-320m.html;"HL-4140 / 4150 / 4570 / DCP-9055 / 9270 / MFC-9460 / 9465 / 9560 / 9970
(Тонер-картридж / 1,500 стр.)";860 ;-;-;8842 ;SuperFine - 1181 от 1181 
TN-320Y;https://profit-msk.ru/brother/cartridges/tn-320y.html;"HL-4140 / 4150 / 4570 / DCP-9055 / 9270 / MFC-9460 / 9465 / 9560 / 9970
(Тонер-картридж / 1,500 стр.)";860 ;-;-;8842 ;SuperFine - 1181 от 1181 
TN-325BK;https://profit-msk.ru/brother/cartridges/tn-325bk.html;"HL-4140 / 4150 / 4570 / DCP-9055 / 9270 / MFC-9460 / 9465 / 9560 / 9970
(Тонер-картридж / 4,000 стр.)";1430 ;-;-;7482 ;-
TN-325C;https://profit-msk.ru/brother/cartridges/tn-325c.html;"HL-4140 / 4150 / 4570 / DCP-9055 / 9270 / MFC-9460 / 9465 / 9560 / 9970
(Тонер-картридж / 3,500 стр.)";1330 ;-;-;15956 ;Hi-Black - 1967 от 1967 
TN-325M;https://profit-msk.ru/brother/cartridges/tn-325m.html;"HL-4140 / 4150 / 4570 / DCP-9055 / 9270 / MFC-9460 / 9465 / 9560 / 9970
(Тонер-картридж / 3,500 стр.)";1330 ;-;-;15956 ;-
TN-325Y;https://profit-msk.ru/brother/cartridges/tn-325y.html;"HL-4140 / 4150 / 4570 / DCP-9055 / 9270 / MFC-9460 / 9465 / 9560 / 9970
(Тонер-картридж / 3,500 стр.)";1330 ;-;-;15956 ;-
WT-300CL;https://profit-msk.ru/brother/cartridges/wt-300cl.html;"HL-4140 / 4150 / 4570 / DCP-9055 / 9270 / MFC-9460 / 9465 / 9560 / 9970
(Waste Toner Container / 50,000K)";-;-;-;2075 ;-
