BU-320CL;https://profit-msk.ru/brother/cartridges/bu-320cl.html;"HL-L8250 / L8350 / L9200 / DCP-L8400 / L8450 / MFC-L8650 / L8850 / L9550
(Ремень для переноса изображения / 50,000 стр.)";-;-;-;;-
DR-321CL;https://profit-msk.ru/brother/cartridges/dr-321cl.html;"Brother HL-L8250 / L8350 / L9200 / DCP-L8400 / L8450 / MFC-L8650 / L8850 / L9550
(Драм-картридж / 25,000 стр.)";-;-;-;17113 ;-
TN-900BK;https://profit-msk.ru/brother/cartridges/tn-900bk.html;"HL-L9200 / MFC-L9550
(Тонер-картридж / 6,000 стр.)";-;-;-;6733 ;-
TN-900BK TWIN;https://profit-msk.ru/brother/cartridges/tn-900bk-twin.html;"HL-L9200 / MFC-L9550
(Комплект из 2-х тонер-картриджей / 2 x 6,000 стр.)";-;-;-;;-
TN-900C;https://profit-msk.ru/brother/cartridges/tn-900c.html;"HL-L9200 / MFC-L9550
(Тонер-картридж / 6,000 стр.)";-;-;-;14386 ;-
TN-900C TWIN;https://profit-msk.ru/brother/cartridges/tn-900c-twin.html;"HL-L9200 / MFC-L9550
(Комплект из 2-х тонер-картриджей / 2 x 6,000 стр.)";-;-;-;;-
TN-900M;https://profit-msk.ru/brother/cartridges/tn-900m.html;"HL-L9200 / MFC-L9550
(Тонер-картридж / 6,000 стр.)";-;-;-;14386 ;-
TN-900M TWIN;https://profit-msk.ru/brother/cartridges/tn-900m-twin.html;"HL-L9200 / MFC-L9550
(Комплект из 2-х тонер-картриджей / 2 x 6,000 стр.)";-;-;-;;-
TN-900Y;https://profit-msk.ru/brother/cartridges/tn-900y.html;"HL-L9200 / MFC-L9550
(Тонер-картридж / 6,000 стр.)";-;-;-;14386 ;-
TN-900Y TWIN;https://profit-msk.ru/brother/cartridges/tn-900y-twin.html;"HL-L9200 / MFC-L9550
(Комплект из 2-х тонер-картриджей / 2 x 6,000 стр.)";-;-;-;;-
WT-320CL;https://profit-msk.ru/brother/cartridges/wt-320cl.html;"HL-L8250 / L8350 / L9200 / DCP-L8400 / L8450 / MFC-L8650 / L8850 / L9550
(Контейнер для отработанного тонера / 50,000 стр.)";-;-;-;;-
